DD,EE,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,Average
DDcy,EEjvz,-13.54,-71.34,32.21,86.82,8.54
,EEcrv,-30.42,-82.96,7.64,67.06,-9.67
,EEmpy,-20.98,55.70,24.93,-53.46,1.55
,EEbkv,-21.89,-12.94,21.62,13.03,-0.05
DDcjx,EEkqy,43.16,-10.81,22.80,13.63,17.20
,EEdfk,-12.83,-70.28,33.11,86.90,9.23
,EEhq,-18.07,55.19,26.16,-44.69,4.65
,EEdhv,-27.91,46.37,13.50,69.78,25.43
DDmx,EEqz,98.06,45.89,5.15,-62.24,21.71
,EEbhk,-24.62,51.78,24.45,70.32,30.48
,EEmz,-22.33,-78.31,17.80,26.79,-14.01
,EEksy,-17.89,57.92,-97.87,85.67,6.96
Average,,-5.77,-1.15,10.96,29.97,8.50
