DD,EE,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AAgqt_BBdfv_CCbpv,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs
DDcjx,EEdhv,77.62,7.34,-58.24,62.37,-82.63,-29.00,64.32,36.53
,EEkqy,74.33,4.29,-66.07,55.93,-86.74,-38.45,55.29,32.74
,EEqz,99.96,28.82,-43.37,71.92,-73.63,-1.71,-92.31,55.12
,EEhq,81.11,13.77,-53.56,65.40,-80.55,-20.05,-96.77,40.57
,EEmz,89.88,17.91,-48.49,65.17,-76.21,-14.71,-91.60,53.02
DDmx,EEqz,74.36,4.85,-61.89,60.96,-84.12,-32.82,57.31,33.21
,EEksy,81.81,17.24,-53.82,65.00,-77.02,-17.60,-93.95,41.66
,EEbkv,92.80,24.88,-47.51,69.56,-75.31,-4.45,-92.06,54.36
,EEbhk,76.60,8.20,-58.99,60.39,-82.99,-29.25,-99.33,36.95
,EEmz,68.85,1.63,-70.80,57.22,-87.29,-40.05,99.01,29.02
DDcy,EEmpy,80.80,9.42,-53.80,60.11,-80.60,-26.50,-98.07,35.60
,EEcrv,76.44,6.11,-60.92,58.38,-85.77,-31.31,62.61,35.01
,EEkqy,97.25,24.59,-44.44,68.68,-74.65,-3.08,-89.65,55.80
,EEbkv,73.21,2.95,-69.75,55.41,-86.69,-40.36,52.19,30.58
,EEjvz,83.69,17.34,-50.59,67.14,-76.95,-16.45,-92.81,52.13
Average,,81.91,12.62,-56.15,62.91,-80.74,-23.05,-30.39,41.49
