CC,DD,AAmz_BBgqt,AAmz_BBbpv,AAmz_BBdhv,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp
CCbt,,31.58,23.30,-16.20,56.71,-82.12,75.81,7.43,-53.79
,  DDbmz,30.09,-0.07,-10.14,58.84,-78.13,75.60,10.27,-49.12
,  DDmx,25.82,92.30,-30.18,49.83,-92.74,68.10,1.13,-61.26
,  DDcwz,28.79,95.97,-17.53,54.47,-85.99,72.65,3.61,-58.52
,  DDmpy,41.62,-94.99,-6.94,63.70,-71.60,86.88,14.73,-46.25
CCfnw,,32.96,-0.98,-13.96,41.91,-76.98,76.13,9.99,-52.30
,  DDgv,30.91,-99.85,-9.69,60.58,-74.71,75.81,11.64,-48.19
,  DDqz,29.20,96.68,-16.44,55.14,-78.70,72.27,7.66,-57.59
,  DDmx,45.11,-93.91,-4.70,0.21,-63.48,87.10,17.93,-42.87
,  DDkrs,26.63,93.15,-25.03,51.73,-91.02,69.33,2.73,-60.56
CChpx,,34.96,1.18,-11.28,58.76,-75.79,79.06,11.12,-50.88
,  DDcmp,30.72,99.99,-13.98,55.61,-77.60,74.92,7.61,-57.29
,  DDkrs,48.71,-92.00,-3.93,66.66,-62.23,89.71,20.49,-37.20
,  DDdlz,35.21,-97.49,-7.20,61.22,-71.45,80.83,13.31,-47.01
,  DDlmr,25.19,94.22,-20.00,51.53,-91.88,70.79,3.06,-62.00
Average,,33.17,7.83,-13.81,52.46,-78.29,77.00,9.51,-52.32
,  ,33.17,7.83,-13.81,52.46,-78.29,77.00,9.51,-52.32
