CC,DD,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBgqt,Average
CCfnw,,-47.36,0.83,-11.12,25.00,1.17,-49.11,-23.57,-14.88
,  DDmx,50.84,-21.63,-5.12,35.18,72.24,-45.11,44.02,18.63
,  DDkrs,-81.00,-41.69,-19.96,5.70,-69.33,-53.34,-93.36,-50.43
,  DDcmp,-79.60,97.89,-8.01,33.20,70.85,-48.37,-86.48,-2.93
,  DDcwz,-79.67,-31.26,-11.41,25.90,-69.09,-49.63,41.55,-24.80
CCbt,,-16.60,-1.61,-13.50,20.64,-33.00,14.33,-55.75,-12.21
,  DDmx,-82.77,87.16,-21.84,-0.07,54.93,74.97,-92.66,2.82
,  DDbmz,47.62,-23.83,-6.00,34.43,-56.05,-45.01,44.50,-0.62
,  DDlmr,47.74,-39.70,-16.30,16.75,-69.46,76.06,-88.77,-10.53
,  DDqz,-78.98,-30.07,-9.86,31.44,-61.44,-48.71,-86.08,-40.53
