Polluted element,Type of pollution,Illinois_Chicago,Illinois_Port Huron,Illinois_Rochester,Michigan_Detroit,Michigan_Minneapolis,Minnesota_Flint,Minnesota_Hastings,Minnesota_Springfield,Average
Air,,11.85,-41.33,77.29,-72.11,56.06,-15.18,-61.99,32.98,-1.55
,  Chemical,11.00,-45.31,71.75,-75.40,54.01,-15.59,-97.10,31.80,-8.11
,  Groundwater,14.08,-37.75,83.31,-68.77,58.07,-13.76,-93.86,34.21,-3.06
,  Thermal,10.48,-40.94,76.81,-72.15,56.09,-16.19,5.00,32.91,6.50
Soil,,15.89,-36.27,83.38,-66.62,59.18,-11.50,-92.63,35.93,-1.58
,  Industrial,17.00,-33.47,87.66,-65.95,60.29,-9.92,-90.03,37.37,0.37
,  Light,18.23,-35.31,82.92,-65.58,59.62,-11.01,-90.97,36.80,-0.66
,  Surface water,12.44,-40.02,79.54,-68.34,57.63,-13.57,-96.91,33.62,-4.45
Water,,14.88,-39.56,80.11,-68.95,57.18,-13.56,-77.34,33.36,-1.73
,  Inorganic Fertilizers,16.14,-35.88,85.03,-65.21,60.64,-12.50,-91.45,35.58,-0.96
,  Noise,16.62,-39.52,81.16,-68.67,57.53,-13.68,-43.86,34.98,3.07
,  Oxygen-depletion,11.88,-43.27,74.13,-72.97,53.36,-14.49,-96.71,29.51,-7.32
