Polluted element,Type of pollution,Michigan_Detroit,Michigan_Flint,Michigan_Minneapolis,Minnesota_Port Huron,Minnesota_Rochester
Air,,-10.20,9.39,-16.73,27.74,10.63
,  Groundwater,-55.00,23.86,-13.16,44.89,-38.97
,  Noise,-55.25,35.93,-9.56,42.41,-34.65
,  Surface water,66.29,18.24,-30.84,41.11,88.95
,  Urban Activities,3.17,-40.48,-13.36,-17.45,27.21
Soil,,19.83,20.75,-18.59,11.44,89.47
,  Chemical,71.57,19.81,-20.66,40.75,89.36
,  Industrial,-66.74,14.39,-24.38,40.09,84.08
,  Inorganic Fertilizers,1.74,20.23,-15.62,45.93,89.66
,  Light,72.76,28.56,-13.70,-81.01,94.80
Water,,3.71,-8.15,13.82,13.93,-23.26
,  Inferior Irrigation,-0.50,22.98,-15.62,46.17,26.44
,  Oxygen-depletion,-56.47,23.65,-17.03,-82.62,-40.93
,  Solid Waste,0.17,15.87,98.17,42.82,-43.90
,  Thermal,71.64,-95.11,-10.26,49.33,-34.66
Average,,4.45,7.33,-7.17,17.70,25.61
,  ,4.45,7.33,-7.17,17.70,25.61
