CC,DD,AAmz_BBcjx,AAmz_BBgqt,AAmz_BBhpt,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv,Average
CChpx,,42.64,8.93,9.90,2.27,-8.98,-4.12,8.44
,  DDdlz,72.78,42.64,-7.52,-7.15,25.48,-66.36,9.98
,  DDlmr,-57.75,39.74,71.07,86.42,12.76,53.44,34.28
,  DDcmp,74.54,41.73,-22.59,-39.05,20.23,-70.06,0.80
,  DDkrs,80.97,-88.37,-1.36,-31.12,-94.41,66.50,-11.30
CCfnw,,74.31,8.64,-16.90,25.41,20.13,25.69,22.88
,  DDmx,79.55,39.23,-2.00,-32.91,31.60,66.48,30.32
,  DDqz,71.73,41.29,-23.45,86.75,19.54,-73.83,20.34
,  DDgv,76.85,-84.54,-10.70,-36.92,22.33,60.65,4.61
,  DDkrs,69.12,38.58,-31.45,84.73,7.07,49.47,36.25
CCbt,,40.06,8.29,-18.77,56.84,6.96,24.84,19.71
,  DDmx,-59.51,37.88,-32.62,-44.76,-0.24,49.89,-8.23
,  DDcwz,72.10,38.28,-24.34,87.54,14.46,-74.10,18.99
,  DDmpy,74.06,46.75,-3.13,93.28,-7.88,64.49,44.59
,  DDbmz,73.60,-89.73,-14.99,91.31,21.52,59.09,23.47
