CC,DD,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBbkv,AApqr_BBnqx,AApqr_BBbpv,Average
CCfnw,DDlmr,50.75,-24.04,-55.38,-92.70,-2.99,-24.87
,DDqz,43.59,90.24,-63.67,18.29,-16.36,14.42
,DDgv,48.37,-31.60,72.28,26.17,-11.37,20.77
,DDkrs,42.70,-47.58,-81.73,5.02,-24.09,-21.14
CChpx,DDmx,-80.71,98.57,-55.43,-97.65,-8.80,-28.80
,DDlmr,43.37,82.93,-72.33,8.67,-20.35,8.46
,DDcwz,44.12,-25.37,-49.21,-91.68,-1.30,-24.69
,DDcmp,46.14,-38.29,-62.70,19.57,-15.72,-10.20
CCbt,DDmx,-89.51,-49.79,53.77,5.90,-22.41,-20.41
,DDbmz,47.85,-36.50,-59.82,21.70,-14.50,-8.25
,DDcwz,43.67,83.90,62.63,16.63,-17.70,37.83
,DDkrs,50.52,-25.71,74.71,-97.39,-4.43,-0.46
