DD,EE,AArv_BBst_CCnw,AArv_BBsy_CChv,AAdk_BBtw_CChv,AAdk_BBrz_CCdt,Average
DDtv,,8.44,57.75,15.78,31.39,28.34
,  EEmn,42.90,85.84,7.15,66.60,50.62
,  EEkz,58.98,-9.30,28.53,80.64,39.71
,  EEfx,-76.55,96.70,11.66,-53.07,-5.31
DDpw,,-75.69,20.01,-21.00,32.74,-10.98
,  EEfh,-82.69,90.28,9.29,-60.12,-10.81
,  EEht,-68.44,-5.99,-87.32,79.93,-20.45
,  EEhr,-75.94,-24.25,15.04,78.41,-1.69
DDnt,,50.51,11.69,9.56,-15.22,14.13
,  EElp,51.70,-33.14,9.99,70.34,24.72
,  EEdn,42.10,82.63,-0.89,-66.68,14.29
,  EEhl,57.72,-14.43,19.58,-49.33,3.38
Average,,-5.58,29.82,1.45,16.30,10.50
,  ,-5.58,29.82,1.45,16.30,10.50
