Polluted element,Type of pollution,California_Chicago_2020,California_Malibu_2019,Illinois_Aberdeen_2019,Illinois_Berkeley_2021,Maryland_Baltimore_2021,Maryland_Champaign_2016
Air,Groundwater,89.06,-27.28,51.17,-58.60,17.52,-83.78
,Inorganic Fertilizers,-8.70,-10.09,69.02,-39.22,26.55,-76.43
,Noise,96.11,-18.43,65.54,-56.15,21.00,-80.82
,Solid Waste,-98.31,-5.07,76.91,-35.50,28.51,-73.00
,Urban Activities,80.83,-30.38,43.52,-65.70,4.25,-90.51
Soil,Chemical,92.15,-26.42,55.96,-57.33,18.67,-83.80
,Inferior Irrigation,-0.45,-8.00,68.75,-39.88,27.61,-80.31
,Inorganic Fertilizers,76.77,-34.01,37.85,-71.83,0.77,-91.34
,Solid Waste,80.59,-29.89,44.35,-65.61,14.70,-87.42
,Thermal,96.86,-14.30,67.45,-53.02,22.64,-79.52
Water,Industrial,82.07,-28.13,49.37,-63.96,14.62,-85.41
,Inferior Irrigation,78.53,-35.11,41.39,-67.72,-0.76,-90.23
,Light,96.75,-13.31,68.02,-44.09,26.16,-78.59
,Surface water,94.05,-22.06,57.18,-56.68,-0.01,-80.49
,Urban Activities,-99.99,-7.41,74.36,-37.93,29.46,-73.52
