Polluted element,Type of pollution,Georgia_Albany_2020,Georgia_Flint_2020,Georgia_Salem_2020,Michigan_Columbus_2018,Michigan_Port Huron_2018,Michigan_Redmond_2018,Oregon_Detroit_2017,Oregon_Portland_2017,Oregon_Washington_2017
Air,,-14.35,-69.46,63.90,-30.79,-60.15,41.30,89.00,17.12,-54.18
,  Industrial,-13.00,-69.27,63.85,-32.65,-91.14,41.98,89.15,18.53,-56.61
,  Light,-24.45,-73.04,60.75,-33.40,-99.99,33.52,85.31,16.73,-58.58
,  Oxygen-depletion,-10.78,-65.56,67.01,-27.84,-18.47,49.59,94.82,23.29,-52.86
,  Surface water,-19.31,-77.77,56.81,-36.66,-7.02,29.07,78.30,4.79,-58.02
,  Thermal,-4.22,-61.64,71.06,-23.39,-84.11,52.36,97.42,22.27,-44.83
Soil,,-12.52,-68.92,65.30,-27.73,-72.72,41.71,89.89,19.17,-54.28
,  Inferior Irrigation,-13.90,-69.89,64.19,-27.07,-91.30,42.04,90.90,18.83,-56.04
,  Inorganic Fertilizers,-15.18,-72.26,61.02,-31.02,-99.03,31.22,85.52,18.56,-56.80
,  Light,-2.68,-60.72,74.70,-21.70,-80.63,53.20,98.28,26.62,-43.87
,  Noise,-21.59,-77.33,57.78,-33.41,-4.77,31.66,80.57,8.12,-58.70
,  Surface water,-9.25,-64.40,68.79,-25.44,-87.85,50.43,94.18,23.73,-56.00
Water,,-14.73,-71.95,60.76,-31.40,-72.06,37.22,86.45,15.82,-57.09
,  Noise,-7.93,-62.80,71.01,-23.29,-86.11,51.81,94.38,22.89,-47.31
,  Oxygen-depletion,-20.06,-79.56,56.04,-42.20,-61.02,28.23,75.81,3.71,-59.48
,  Solid Waste,-11.22,-66.98,63.31,-26.36,-90.71,41.63,90.65,22.63,-59.26
,  Thermal,-19.53,-77.58,56.84,-32.83,-26.21,31.84,82.94,10.91,-61.15
,  Urban Activities,-14.91,-72.83,56.59,-32.33,-96.23,32.61,88.49,18.94,-58.24
Average,,-13.87,-70.11,63.32,-29.97,-68.31,40.08,88.45,17.37,-55.18
,  ,-13.87,-70.11,63.32,-29.97,-68.31,40.08,88.45,17.37,-55.18
