Polluted element,Type of pollution,California_Berkeley_2022,California_Boston_2022,California_Flint_2022,Massachusetts_Detroit_2015,Massachusetts_Malibu_2015,Michigan_Lenox_2020,Michigan_Port Huron_2020,Michigan_San Francisco_2020
Average,,-20.30,-11.01,29.73,-47.50,37.42,0.71,7.27,-0.46
,  ,-20.30,-11.01,29.73,-47.50,37.42,0.71,7.27,-0.46
Air,,-30.46,-10.55,19.24,-55.85,65.52,-29.70,21.38,-0.47
,  Inferior Irrigation,11.64,-12.31,-22.86,-12.11,23.12,-27.10,23.21,-1.22
,  Inorganic Fertilizers,-52.20,-10.54,39.07,-78.63,84.05,-32.09,13.71,-65.75
,  Thermal,-50.83,-8.81,41.50,-76.83,89.38,-29.92,27.21,65.55
Soil,,-10.14,-11.46,40.22,-39.16,9.33,31.12,-6.83,-0.45
,  Industrial,-55.06,-13.02,39.46,-80.59,87.24,33.45,-45.73,-0.50
,  Noise,-50.37,-9.30,41.34,52.14,-49.81,-36.03,13.14,65.56
,  Solid Waste,75.00,-12.05,39.87,-89.02,-9.45,95.95,12.09,-66.40
