DD,EE,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCkrs
Average,,66.11,-71.12,-38.21,14.97,87.96,42.10,-67.01,-13.98
,  ,66.11,-71.12,-38.21,14.97,87.96,42.10,-67.01,-13.98
DDcjx,,67.82,-70.00,-37.13,17.21,88.87,44.15,-81.54,-14.01
,  EEdhv,64.85,-73.68,-42.32,9.12,86.64,39.77,-97.17,-15.60
,  EEkqy,69.64,-67.59,-38.53,18.03,87.02,42.67,-42.92,-12.35
,  EEdfk,70.31,-64.81,-34.54,25.71,92.58,50.18,-91.16,-14.20
,  EEhq,66.47,-73.91,-33.14,15.97,89.22,43.96,-94.90,-13.91
DDmx,,64.06,-72.55,-40.35,12.95,86.39,39.88,-48.15,-14.78
,  EEbhk,65.14,-72.34,-38.18,11.76,87.94,41.54,-97.88,-13.90
,  EEmz,64.89,-71.99,-44.00,13.43,87.65,40.46,0.97,-17.71
,  EEksy,67.24,-68.64,-32.59,19.04,90.11,43.04,-94.82,-10.57
,  EEqz,58.98,-77.24,-46.64,7.59,79.85,34.48,-0.86,-16.95
DDcy,,66.46,-70.80,-37.14,14.73,88.62,42.28,-71.33,-13.14
,  EEbkv,68.65,-68.75,-40.69,14.58,88.58,41.61,3.68,-14.44
,  EEcrv,61.48,-74.96,-42.06,7.08,85.98,36.20,-98.52,-15.89
,  EEjvz,69.53,-67.61,-31.17,24.02,91.94,49.96,-92.42,-9.61
,  EEmpy,66.19,-71.87,-34.65,13.25,87.97,41.37,-98.06,-12.60
