Characteristic,Intensity,2015_Illinois_Columbia,2015_Maryland_Springfield,2017_Illinois_Champaign,2017_Maryland_Baltimore,2019_Illinois_Aberdeen
Humidity,,5.79,17.49,8.17,23.41,23.93
,  21-30,0.10,9.15,2.54,21.79,20.53
,  High,5.79,13.88,3.13,23.41,23.93
,  Storm,2.97,17.49,8.17,7.32,23.73
Temperature,,11.49,16.26,5.00,23.10,23.53
,  11-20,0.02,13.87,3.88,23.10,22.39
,  Calm,11.49,10.05,0.98,20.78,12.00
,  Low,1.15,16.26,5.00,7.57,23.53
Wind,,19.75,11.54,3.83,27.61,23.46
,  0-10,15.03,10.42,3.83,27.12,20.11
,  Medium,19.75,11.54,2.18,6.66,23.46
,  Storm,10.58,9.67,0.93,27.61,18.71
Maximum,,19.75,17.49,8.17,27.61,23.93
,  ,19.75,17.49,8.17,27.61,23.93
