DD,EE,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz
DDmx,,12.96,15.09,26.47,6.22,24.14,19.81
,  EEqz,3.19,12.24,25.01,1.99,21.11,17.94
,  EEbhk,12.96,15.09,8.72,6.22,24.14,19.81
,  EEmz,9.26,0.79,26.47,0.31,15.73,15.60
DDcy,,13.03,16.36,26.48,7.85,23.10,17.35
,  EEcrv,10.87,13.80,26.48,0.32,22.43,17.35
,  EEmpy,13.03,16.36,8.65,7.85,23.10,7.87
,  EEbkv,3.36,10.94,25.21,1.54,17.42,16.89
DDcjx,,14.20,17.34,26.90,5.23,23.48,22.72
,  EEdhv,12.94,13.36,26.90,5.04,23.16,18.62
,  EEkqy,3.69,10.09,25.93,2.76,16.75,17.02
,  EEmz,14.20,17.34,9.65,5.23,23.48,22.72
Maximum,,14.20,17.34,26.90,7.85,24.14,22.72
,  ,14.20,17.34,26.90,7.85,24.14,22.72
