Characteristic,Intensity,2015_Illinois_Chicago,2015_Illinois_Tampa,2017_California_Champaign,2017_California_Fort Lauderdale,2017_California_Los-Angeles,2018_Florida_Berkeley,2018_Florida_Springfield
Maximum,,19.16,26.65,22.53,27.79,8.51,17.60,13.88
,  ,19.16,26.65,22.53,27.79,8.51,17.60,13.88
Humidity,,16.58,19.39,22.53,21.68,5.46,12.43,10.60
,  11-20,6.29,19.39,22.53,5.35,5.46,12.43,0.03
,  Calm,16.58,18.71,1.40,4.18,1.00,12.21,1.95
,  Low,15.47,16.14,19.21,21.68,0.93,8.57,10.60
Temperature,,19.16,26.65,21.09,26.63,8.51,17.60,12.24
,  31-40,17.99,18.72,21.09,24.46,5.66,12.26,12.24
,  Breeze,3.05,20.55,7.47,26.63,2.77,7.52,10.80
,  Medium,19.16,26.65,3.40,8.98,8.51,17.60,2.76
Wind,,17.11,22.96,22.27,27.79,6.52,16.69,13.88
,  Low,6.04,22.96,22.27,27.79,6.52,16.69,13.88
,  Medium,15.89,19.48,2.67,22.44,1.86,6.38,10.92
,  Storm,17.11,21.86,21.12,23.77,1.93,13.27,12.18
