DD,EE,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv,Maximum
DDcy,,26.05,18.28,13.40,4.45,23.14,9.66,10.68,22.54,26.05
,  EEmz,1.43,18.28,3.45,4.45,23.14,9.18,10.68,22.51,23.14
,  EEqz,4.52,14.94,13.40,4.14,19.03,9.66,3.67,22.54,22.54
,  EEbkv,26.05,14.24,12.78,2.13,4.95,5.76,4.90,17.61,26.05
DDmx,,27.34,17.43,14.75,5.23,7.69,11.45,10.56,20.64,27.34
,  EEmz,25.59,7.14,11.70,1.75,3.70,4.60,5.49,19.14,25.59
,  EEkqy,27.34,8.00,0.10,1.55,4.11,9.98,8.98,20.13,27.34
,  EEcrv,22.20,17.43,14.75,5.23,7.69,11.45,10.56,20.64,22.20
Maximum,,27.34,18.28,14.75,5.23,23.14,11.45,10.68,22.54,27.34
,  ,27.34,18.28,14.75,5.23,23.14,11.45,10.68,22.54,27.34
